participant,participant_age,Image_ID,Image_actual_age,Image_age,Image_emotion,age_resp,age_resp_rt
29,61,O_48F,65,old,neutral,78,14.65659
29,61,Y_48F,23,young,happy,30,4.51966
29,61,Y_40F,28,young,happy,40,4.11845
29,61,O_71M,65,old,neutral,70,5.717045
29,61,Y_15M,20,young,angry,32,8.752635
29,61,Y_12F,18,young,angry,21,4.29685
29,61,Y_4F,19,young,happy,28,4.118545
29,61,Y_57M,23,young,neutral,45,6.831505
29,61,O_43F,62,old,happy,55,4.254325
29,61,O_17M,69,old,angry,70,4.229975
29,61,Y_71F,20,young,neutral,32,5.81673
29,61,Y_58M,22,young,neutral,30,6.69606
29,61,O_53F,64,old,neutral,52,5.535245
29,61,O_67M,61,old,neutral,68,4.03494
29,61,Y_30M,25,young,happy,35,5.302395
29,61,O_40F,61,old,happy,52,10.63094
29,61,O_29F,63,old,angry,55,11.182555
29,61,Y_27M,23,young,angry,30,5.31729
29,61,O_38F,65,old,happy,65,7.01485
29,61,O_56F,65,old,neutral,62,6.25221
29,61,O_20M,65,old,angry,70,6.31811
29,61,Y_6F,23,young,neutral,28,6.26486
29,61,Y_69F,28,young,neutral,35,8.42359
29,61,Y_46M,18,young,happy,40,6.433805
29,61,Y_1M,19,young,angry,30,4.485875
29,61,O_65M,65,old,neutral,70,3.16606
29,61,O_50M,65,old,happy,70,8.264465
29,61,Y_75M,30,young,neutral,48,4.284185
29,61,O_15M,69,old,angry,70,9.899975
29,61,Y_11M,20,young,angry,40,5.555715
29,61,O_47F,60,old,neutral,55,14.773115
29,61,Y_72F,25,young,neutral,28,5.754475
29,61,O_23F,66,old,angry,70,5.501095
29,61,O_28F,64,old,angry,70,5.77136
29,61,Y_66F,26,young,happy,35,3.753615
29,61,O_10F,60,old,angry,42,3.38358
29,61,Y_28M,20,young,happy,25,5.75119
29,61,O_08M,65,old,angry,67,10.315215
29,61,Y_17F,33,young,angry,42,4.81833
29,61,O_34F,65,old,happy,55,3.984945
29,61,O_21M,65,old,happy,68,4.16656
29,61,Y_55M,24,young,neutral,30,3.57283
29,61,Y_38F,24,young,angry,30,4.219685
29,61,O_64M,65,old,neutral,65,3.651825
29,61,O_42M,75,old,happy,85,3.632285
29,61,Y_54M,26,young,happy,42,3.18375
29,61,O_58M,64,old,happy,62,3.849395
29,61,Y_14F,21,young,angry,30,3.93727
1,63,O_15M,69,old,angry,68,10.148905
1,63,Y_66F,26,young,happy,23,4.940315
1,63,Y_54M,26,young,happy,28,6.27358
1,63,Y_27M,23,young,angry,32,8.993685
1,63,O_28F,64,old,angry,65,9.084685
1,63,Y_1M,19,young,angry,32,4.10951
1,63,Y_69F,28,young,neutral,25,4.279805
1,63,O_50M,65,old,happy,62,7.09309
1,63,O_67M,61,old,neutral,68,9.196055
1,63,Y_28M,20,young,happy,27,4.752845
1,63,Y_58M,22,young,neutral,25,7.355675
1,63,O_47F,60,old,neutral,48,9.919165
1,63,O_20M,65,old,angry,65,9.93457
1,63,Y_72F,25,young,neutral,38,6.92504
1,63,O_64M,65,old,neutral,68,10.045475
1,63,O_34F,65,old,happy,58,16.62785
1,63,O_23F,66,old,angry,62,5.807995
1,63,Y_15M,20,young,angry,37,5.17055
1,63,Y_30M,25,young,happy,37,7.70984
1,63,Y_14F,21,young,angry,27,5.3698
1,63,Y_12F,18,young,angry,32,5.85957
1,63,O_48F,65,old,neutral,65,6.52112
1,63,O_65M,65,old,neutral,75,7.515235
1,63,O_38F,65,old,happy,62,14.39882
1,63,O_29F,63,old,angry,58,7.30244
1,63,Y_6F,23,young,neutral,26,4.452675
1,63,O_43F,62,old,happy,63,4.888705
1,63,Y_17F,33,young,angry,26,4.89261
1,63,O_42M,75,old,happy,82,10.10594
1,63,Y_46M,18,young,happy,36,5.30564
1,63,Y_4F,19,young,happy,34,5.7499
1,63,O_58M,64,old,happy,62,6.05362
1,63,O_21M,65,old,happy,73,6.793495
1,63,O_17M,69,old,angry,65,4.977475
1,63,Y_48F,23,young,happy,30,4.722525
1,63,Y_75M,30,young,neutral,34,6.554715
1,63,Y_38F,24,young,angry,30,4.88185
1,63,Y_57M,23,young,neutral,36,3.43585
1,63,Y_40F,28,young,happy,38,4.74262
1,63,O_56F,65,old,neutral,58,6.263105
1,63,O_71M,65,old,neutral,75,5.14614
1,63,Y_71F,20,young,neutral,38,5.378225
1,63,O_53F,64,old,neutral,62,11.89726
1,63,Y_11M,20,young,angry,32,4.36315
1,63,O_40F,61,old,happy,65,4.511805
1,63,O_08M,65,old,angry,65,4.41049
1,63,Y_55M,24,young,neutral,35,3.144895
1,63,O_10F,60,old,angry,55,9.362035
20,54,Y_48F,23,young,happy,20,56.38204
20,54,Y_27M,23,young,angry,23,28.141875
20,54,Y_12F,18,young,angry,18,10.1577
20,54,Y_58M,22,young,neutral,25,9.647675
20,54,Y_14F,21,young,angry,30,19.96153
20,54,Y_1M,19,young,angry,19,13.15834
20,54,Y_55M,24,young,neutral,30,16.063785
20,54,O_20M,65,old,angry,68,26.27716
20,54,Y_72F,25,young,neutral,35,20.342655
20,54,Y_30M,25,young,happy,28,16.17699
20,54,O_53F,64,old,neutral,55,9.492875
20,54,O_40F,61,old,happy,65,6.34373
20,54,O_38F,65,old,happy,63,19.443685
20,54,Y_28M,20,young,happy,17,13.79589
20,54,Y_11M,20,young,angry,20,8.875425
20,54,Y_40F,28,young,happy,30,9.711945
20,54,O_34F,65,old,happy,60,19.360455
